"Amount","Date","Category","Subcategory","Recurring","Fun"
"10.00","7/3/2025","Investments",,"False","no"
"181.28","7/4/2025","Food","Grocery","False","no"
"29.50","7/5/2025","Food","Culver's","False","no"
"12.10","7/7/2025","Food","Work Lunch","False","no"
"25.47","7/7/2025","Miscellaneous",,"False","no"
"30.00","7/8/2025","Investments",,"False","no"
"11.34","7/8/2025","Food","Work Lunch","False","no"
"9.07","7/11/2025","Food","Taco Bell","False","no"
"28.62","7/11/2025","Food","Culver's","False","no"
"28.52","7/12/2025","Food","Other","False","no"
"20.00","7/12/2025","Miscellaneous",,"False","no"
"42.92","7/13/2025","Dates",,"False","no"
"2.60","7/14/2025","Food","Soda pop","False","no"
"34.00","7/14/2025","Miscellaneous",,"False","no"
"10.31","7/15/2025","Food","Work Lunch","False","no"
"3.33","7/15/2025","Food","Grocery","False","no"
"2.60","7/16/2025","Food","Soda pop","False","no"
"11.83","7/17/2025","Food","Work Lunch","False","no"
"25.04","7/18/2025","Subscriptions",,"False","no"
"24.51","7/20/2025","Food","Culver's","False","no"
"10.58","7/21/2025","Food","Work Lunch","False","no"
"45.42","7/21/2025","Pet",,"False","no"
"60.00","7/22/2025","Investments",,"False","no"
"2.60","7/24/2025","Food","Soda pop","False","no"
"45.54","7/24/2025","Car","Gas","False","no"
"55.32","7/24/2025","Food","Grocery","False","no"
"5.20","7/25/2025","Food","Soda pop","False","no"
"16.00","7/26/2025","Miscellaneous",,"False","no"
"1,370.00","7/27/2025","Home","Rent","False","no"
"11.83","7/29/2025","Food","Work Lunch","False","no"
"48.00","7/30/2025","Dates",,"False","no"
"14.98","7/31/2025","Food","Work Lunch","False","no"
"169.92","7/31/2025","Food","Grocery","False","no"
"300.00","8/1/2025","Investments",,"False","no"
"3.60","8/2/2025","Miscellaneous",,"False","no"
"11.83","8/4/2025","Food","Work Lunch","False","no"
"2.60","8/4/2025","Food","Soda pop","False","no"
"42.50","8/5/2025","Miscellaneous",,"False","no"
"11.83","8/6/2025","Food","Work Lunch","False","no"
"10.35","8/8/2025","Food","Other","False","no"
"31.76","8/8/2025","Food","Culver's","False","no"
"92.63","8/12/2025","Food","Grocery","False","no"
"2.60","8/14/2025","Food","Soda pop","False","no"
"140.67","8/15/2025","Miscellaneous",,"False","no"
"24.32","8/16/2025","Food","Culver's","False","no"
"28.55","8/17/2025","Food","Grocery","False","no"
"20.65","8/17/2025","Food","Panda","False","no"
"17.72","8/18/2025","Food","Grocery","False","no"
"2.40","8/18/2025","Miscellaneous",,"False","no"
"630.93","8/18/2025","Pet",,"False","no"
"2.60","8/19/2025","Food","Soda pop","False","no"
"7.22","8/20/2025","Food","Work Lunch","False","no"
"10.63","8/20/2025","Food","Culver's","False","no"
"12.91","8/21/2025","Food","Work Lunch","False","no"
"2.60","8/21/2025","Food","Soda pop","False","no"
"28.62","8/22/2025","Food","Culver's","False","no"
"177.24","8/23/2025","Food","Grocery","False","no"
"2.77","8/26/2025","Food","Work Lunch","False","no"
"2.60","8/27/2025","Food","Soda pop","False","no"
"5.13","8/27/2025","Food","Grocery","False","no"
"2.60","8/29/2025","Food","Soda pop","False","no"
"12.00","8/29/2025","Food","Other","False","no"
"2,098.00","8/29/2025","Debt Payments",,"False","no"
"2.60","9/2/2025","Food","Soda pop","False","no"
"11.83","9/3/2025","Food","Work Lunch","False","no"
"7.00","9/3/2025","Miscellaneous","Website","True","no"
"20.65","9/4/2025","Food","Panda","False","no"
"54.49","9/4/2025","Car","Gas","False","no"
"36.03","9/7/2025","Food","Culver's","False","no"
"6.43","9/8/2025","Food","Grocery","False","no"
"2.60","9/9/2025","Food","Soda pop","False","no"
"12.67","9/10/2025","Food","Work Lunch","False","no"
"33.76","9/11/2025","Food","Grocery","False","no"
"10.19","9/15/2025","Food","Culver's","False","no"
"15.55","9/15/2025","Food","Other","False","no"
"30.29","9/15/2025","Miscellaneous","Household Items","False","no"
"261.35","9/16/2025","Miscellaneous","Vacation","False","no"
"7.33","9/16/2025","Food","Work Lunch","False","no"
"11.86","9/17/2025","Food","Work Lunch","False","no"
"24.84","9/22/2025","Food","Culver's","False","no"
"99.10","9/22/2025","Miscellaneous","Electric Bill","False","no"
"14.64","9/22/2025","Food","Grocery","False","no"
"11.83","9/22/2025","Food","Work Lunch","False","no"
"11.83","9/25/2025","Food","Work Lunch","False","no"
"151.54","9/25/2025","Food","Grocery","False","no"
"1,370.00","9/30/2025","Home","Rent","False","no"
"36.81","9/30/2025","Food","Culver's","False","no"
"14.63","9/30/2025","Food","Work Lunch","False","no"
"11.83","9/30/2025","Food","Work Lunch","False","no"
"3.80","10/1/2025","Miscellaneous","Tolls","False","no"
"7.00","10/3/2025","Miscellaneous","Website","True","no"
"2.60","10/3/2025","Food","Soda pop","False","no"
"42.50","10/3/2025","Subscriptions","Phone Bill","False","no"
"24.84","10/3/2025","Food","Culver's","False","no"
"31.04","10/4/2025","Food","Other","False","no"
"120.83","10/5/2025","Food","Grocery","False","no"
"70.00","10/7/2025","Dates","Dinner","False","no"
"2.60","10/7/2025","Food","Soda pop","False","no"
"10.64","10/8/2025","Food","Work Lunch","False","no"
"11.97","10/9/2025","Food","Culver's","False","no"
"105.40","10/14/2025","Food","Grocery","False","no"
"32.93","10/14/2025","Food","Culver's","False","no"
"2.60","10/14/2025","Food","Grocery","False","no"
"22.00","10/14/2025","Food","Other","False","no"
"287.78","10/14/2025","Miscellaneous","Vacation","False","no"
"151.54","10/14/2025","Food","Grocery","False","no"
"338.82","10/14/2025","Car","Insurance","False","no"
"80.00","10/14/2025","Miscellaneous","Clothes","False","no"
"3.10","10/14/2025","Food","Soda pop","False","no"
"11.83","10/15/2025","Food","Work Lunch","False","no"
"10.31","10/24/2025","Food","Work Lunch","False","no"
"4.23","10/24/2025","Food","Grocery","False","no"
"25.04","10/24/2025","Subscriptions","Gym","True","no"
"30.61","10/24/2025","Food","Culver's","False","no"
"1.90","10/24/2025","Miscellaneous","Tolls","False","no"
"10.90","10/24/2025","Miscellaneous","Clothes","False","no"
"10.89","10/24/2025","Miscellaneous",,"False","no"
"12.42","10/24/2025","Food","Grocery","False","no"
"44.51","10/24/2025","Food","Grocery","False","no"
"2.82","10/24/2025","Food","Soda pop","False","no"
"10.31","10/24/2025","Food","Work Lunch","False","no"
"1.90","10/24/2025","Miscellaneous","Tolls","False","no"
"24.84","10/24/2025","Food","Culver's","False","no"
"149.18","10/24/2025","Food","Grocery","False","no"
"53.82","10/24/2025","Miscellaneous","Household Items","False","no"
"19.90","10/27/2025","Miscellaneous","Household Items","False","no"
"76.26","10/27/2025","Miscellaneous","Household Items","False","no"
"2.60","10/28/2025","Food","Soda pop","False","no"
"18.05","10/28/2025","Food","Grocery","False","no"
"2,000.00","10/28/2025","Debt Payments",,"False","no"
"11.83","10/30/2025","Food","Work Lunch","False","no"
"35.03","11/1/2025","Food","Culver's","False","no"
"42.50","11/2/2025","Subscriptions","Phone Bill","True","no"
"11.83","11/3/2025","Food","Work Lunch","False","no"
"12.03","11/3/2025","Dates","Treat","False","no"
"7.00","11/4/2025","Subscriptions","Website","False","no"
"65.31","11/5/2025","Food","Grocery","False","no"
"2.71","11/6/2025","Food","Soda pop","False","no"
"314.43","11/6/2025","Pet","Resort","False","no"
"31.63","11/7/2025","Food","Culver's","False","no"
"102.99","11/9/2025","Food","Grocery","False","no"
"209.35","11/11/2025","Miscellaneous","Household Items","False","no"
"11.83","11/12/2025","Food","Work Lunch","False","no"
"92.67","11/12/2025","Car","Oil Change","False","no"
"11.23","11/17/2025","Food","Work Lunch","False","no"
"25.04","11/17/2025","Subscriptions","Gym","True","no"
"30.00","11/17/2025","Dates",,"False","no"
"79.41","11/17/2025","Food","Grocery","False","no"
"47.67","11/17/2025","Food","Grocery","False","no"
"37.25","11/17/2025","Food","Culver's","False","no"
"2.71","11/17/2025","Food","Soda pop","False","no"
"5.48","11/17/2025","Food","Work Lunch","False","no"
"8.13","11/23/2025","Food","Soda pop","False","no"
"59.88","11/23/2025","Miscellaneous","Gift","False","no"
"31.06","11/23/2025","Food","Culver's","False","no"
"1.94","11/23/2025","Subscriptions","Paramount","False","no"
"54.18","11/23/2025","Food","Grocery","False","no"
"10.00","11/23/2025","Miscellaneous",,"False","no"
"82.06","11/23/2025","Dates","Friends","False","no"
"11.83","11/24/2025","Food","Work Lunch","False","no"
"2.71","11/25/2025","Food","Soda pop","False","no"
"20.87","11/25/2025","Food","Panda","False","no"
"13.10","11/26/2025","Food","Other","False","no"
"20.00","11/27/2025","Food","Other","False","no"
"1,370.00","11/27/2025","Home","Rent","False","no"
"21.20","11/27/2025","Food","Other","False","no"
"13.10","11/27/2025","Food","Other","False","no"
"1,522.03","11/27/2025","Debt Payments",,"False","no"
"500.00","11/27/2025","Investments",,"False","no"
"11.27","11/30/2025","Food","Other","False","no"
"12.99","11/30/2025","Subscriptions","Paramount","True","no"
"29.16","11/30/2025","Food","Other","False","no"
"42.50","12/4/2025","Subscriptions","Phone Bill","False","no"
"7.00","12/4/2025","Subscriptions","Website","False","no"
"1.90","12/4/2025","Miscellaneous","Tolls","False","no"
"11.83","12/4/2025","Food","Work Lunch","False","no"
"274.53","12/4/2025","Miscellaneous","Gift","False","no"
"36.49","12/9/2025","Miscellaneous","Clothes","False","no"
"2.71","12/9/2025","Food","Soda pop","False","no"
"57.64","12/9/2025","Miscellaneous","Gift","False","no"
"171.78","12/9/2025","Food","Grocery","False","no"
"20.00","12/9/2025","Subscriptions","AI","False","no"
"10.31","12/10/2025","Food","Work Lunch","False","no"
"2.71","12/10/2025","Food","Soda pop","False","no"
"31.06","12/11/2025","Food","Culver's","False","no"
"60.60","12/13/2025","Food","Grocery","False","no"
"2.71","12/13/2025","Food","Soda pop","False","no"
"12.92","12/13/2025","Food","Work Lunch","False","no"
"25.97","12/15/2025","Food","Grocery","False","no"
"11.23","12/15/2025","Food","Work Lunch","False","no"
"11.83","12/16/2025","Food","Work Lunch","False","no"
"2.71","12/21/2025","Food","Work Lunch","False","no"
"2.77","12/21/2025","Food","Soda pop","False","no"
"25.04","12/21/2025","Subscriptions","Gym","False","no"
"7.49","12/21/2025","Subscriptions","Amazon Prime","False","no"
"33.03","12/21/2025","Food","Culver's","False","no"
"42.00","12/21/2025","Miscellaneous","Barber","False","no"
"108.00","12/21/2025","Food","Grocery","False","no"
"30.52","12/21/2025","Miscellaneous",,"False","no"
"25.95","12/21/2025","Food","Culver's","False","no"
"35.32","12/21/2025","Food","Grocery","False","no"
"59.08","12/26/2025","Food","Grocery","False","no"
"19.62","12/26/2025","Miscellaneous","Household Items","False","no"
"496.62","12/26/2025","Miscellaneous","Vacation","False","no"
"147.69","12/26/2025","Miscellaneous","Gift","False","no"
"1,297.00","12/26/2025","Debt Payments",,"False","no"
"720.00","12/26/2025","Investments",,"False","no"
"8.38","12/29/2025","Miscellaneous",,"False","no"
