Month,Net Worth,Cash,Investments,Debt,Monthly Gain,Monthly Loss,401K,Year,Home Equity
June,"-24,146.35","17,855.63",962.21,"42,919.00","4,582.31","2,461.07",0,2025,0
July,"-21,732.83","16,842.56","1,227.61","39,903.00","2,398.46","2,399.43",0,2025,0
August,"-19,951.69","18,537.89","1,554.53","37,805.00","5,465.36","3,739.86",0,2025,0
September,"-19,661.90","18,772.89","1,601.04","38,434.79","2,561.47","2,271.68",0,2025,0
October,"-17,621.92","17,123.87","1,689.01","36,434.80","2,287.61","3,886.14",0,2025,0
November,"-14,223.27","19,000.24","1,923.35","35,146.86","6,834.21","4,473.61",0,2025,0
December,"-11,044.82","20,307.51","2,602.16","33,954.49","5,144.81","3,166.70",0,2025,0
January,"-8,293.18","14,577.19","7,197.26","30,932.51","5,155.65","6,371.35",870.24,2026,0
February,345.87,"21,504.90","7,383.85","31,224.58","8,473.66","1,511.80","2,681.70",2026,0
March,"-13,194.01","5,966.54","8,676.52","30,510.77","5,729.27","19,670.88","2,673.70",2026,"7,250"
April,"-9,526.19","6,175.62","9,055.51","29,847.08","5,380.20","4,401.07","5,089.76",2026,"7,250"
May,"-5,355.10","5,211.05","9,853.54","26,810.79","5,300.13","6,447.66","6,391.10",2026,"7,250"
June,"-1,789.81","7,300.78","10,247.61","26,896.33","5,300.11","3,260.46","7,558.13",2026,"7,590.44"
July,"-1,361.54","7,063.11","9,934.87","26,975.81",0,138.59,"8,616.29",2026,"7,733.55"
